frame-00190.bmp: radius 1.600773e-02, zoom level 6.246981e+01
frame-00191.bmp: radius 1.566314e-02, zoom level 6.384415e+01
frame-00189.bmp: radius 1.635990e-02, zoom level 6.112506e+01
frame-00192.bmp: radius 1.532597e-02, zoom level 6.524872e+01
frame-00195.bmp: radius 1.435738e-02, zoom level 6.965057e+01
frame-00198.bmp: radius 1.345001e-02, zoom level 7.434938e+01
frame-00188.bmp: radius 1.671982e-02, zoom level 5.980926e+01
frame-00199.bmp: radius 1.316048e-02, zoom level 7.598507e+01
frame-00197.bmp: radius 1.374591e-02, zoom level 7.274891e+01
frame-00194.bmp: radius 1.467325e-02, zoom level 6.815124e+01
frame-00193.bmp: radius 1.499606e-02, zoom level 6.668419e+01
frame-00201.bmp: radius 1.259998e-02, zoom level 7.936519e+01
frame-00196.bmp: radius 1.404832e-02, zoom level 7.118288e+01
frame-00200.bmp: radius 1.287718e-02, zoom level 7.765674e+01
frame-00214.bmp: radius 9.495291e-03, zoom level 1.053154e+02
frame-00215.bmp: radius 9.290892e-03, zoom level 1.076323e+02
frame-00202.bmp: radius 1.232875e-02, zoom level 8.111122e+01
frame-00213.bmp: radius 9.704188e-03, zoom level 1.030483e+02
frame-00212.bmp: radius 9.917680e-03, zoom level 1.008300e+02
frame-00187.bmp: radius 1.708766e-02, zoom level 5.852178e+01
frame-00203.bmp: radius 1.206336e-02, zoom level 8.289567e+01
frame-00204.bmp: radius 1.180368e-02, zoom level 8.471937e+01
frame-00216.bmp: radius 9.090892e-03, zoom level 1.100002e+02
frame-00218.bmp: radius 8.703716e-03, zoom level 1.148935e+02
frame-00226.bmp: radius 7.313033e-03, zoom level 1.367422e+02
frame-00217.bmp: radius 8.895198e-03, zoom level 1.124202e+02
frame-00219.bmp: radius 8.516356e-03, zoom level 1.174211e+02
frame-00205.bmp: radius 1.154958e-02, zoom level 8.658320e+01
frame-00186.bmp: radius 1.746358e-02, zoom level 5.726201e+01
frame-00206.bmp: radius 1.130096e-02, zoom level 8.848803e+01
frame-00227.bmp: radius 7.155610e-03, zoom level 1.397505e+02
frame-00224.bmp: radius 7.638346e-03, zoom level 1.309184e+02
frame-00225.bmp: radius 7.473920e-03, zoom level 1.337986e+02
frame-00220.bmp: radius 8.333030e-03, zoom level 1.200044e+02
frame-00211.bmp: radius 1.013587e-02, zoom level 9.865952e+01
frame-00207.bmp: radius 1.105769e-02, zoom level 9.043477e+01
frame-00185.bmp: radius 1.784778e-02, zoom level 5.602937e+01
frame-00229.bmp: radius 6.850856e-03, zoom level 1.459672e+02
frame-00230.bmp: radius 6.703382e-03, zoom level 1.491784e+02
frame-00208.bmp: radius 1.081966e-02, zoom level 9.242433e+01
frame-00222.bmp: radius 7.978130e-03, zoom level 1.253426e+02
frame-00221.bmp: radius 8.153649e-03, zoom level 1.226445e+02
frame-00223.bmp: radius 7.806390e-03, zoom level 1.281002e+02
frame-00209.bmp: radius 1.058675e-02, zoom level 9.445767e+01
frame-00210.bmp: radius 1.035886e-02, zoom level 9.653574e+01
frame-00240.bmp: radius 5.392436e-03, zoom level 1.854449e+02
frame-00243.bmp: radius 5.051639e-03, zoom level 1.979555e+02
frame-00241.bmp: radius 5.276356e-03, zoom level 1.895247e+02
frame-00232.bmp: radius 6.417889e-03, zoom level 1.558145e+02
frame-00184.bmp: radius 1.824043e-02, zoom level 5.482326e+01
frame-00242.bmp: radius 5.162775e-03, zoom level 1.936943e+02
frame-00246.bmp: radius 4.732380e-03, zoom level 2.113102e+02
frame-00235.bmp: radius 6.012284e-03, zoom level 1.663261e+02
frame-00233.bmp: radius 6.279734e-03, zoom level 1.592424e+02
frame-00231.bmp: radius 6.559082e-03, zoom level 1.524604e+02
frame-00228.bmp: radius 7.001575e-03, zoom level 1.428250e+02
frame-00234.bmp: radius 6.144554e-03, zoom level 1.627457e+02
frame-00248.bmp: radius 4.530831e-03, zoom level 2.207101e+02
frame-00238.bmp: radius 5.632313e-03, zoom level 1.775469e+02
frame-00247.bmp: radius 4.630509e-03, zoom level 2.159590e+02
frame-00237.bmp: radius 5.756224e-03, zoom level 1.737250e+02
frame-00239.bmp: radius 5.511070e-03, zoom level 1.814530e+02
frame-00236.bmp: radius 5.882861e-03, zoom level 1.699853e+02
frame-00244.bmp: radius 4.942895e-03, zoom level 2.023106e+02
frame-00245.bmp: radius 4.836493e-03, zoom level 2.067614e+02
frame-00249.bmp: radius 4.433298e-03, zoom level 2.255657e+02
frame-00183.bmp: radius 1.864172e-02, zoom level 5.364311e+01
frame-00256.bmp: radius 3.806893e-03, zoom level 2.626814e+02
frame-00250.bmp: radius 4.337865e-03, zoom level 2.305281e+02
frame-00251.bmp: radius 4.244486e-03, zoom level 2.355998e+02
frame-00258.bmp: radius 3.644760e-03, zoom level 2.743665e+02
frame-00252.bmp: radius 4.153118e-03, zoom level 2.407830e+02
frame-00254.bmp: radius 3.976239e-03, zoom level 2.514939e+02
frame-00253.bmp: radius 4.063716e-03, zoom level 2.460802e+02
frame-00255.bmp: radius 3.890645e-03, zoom level 2.570268e+02
frame-00182.bmp: radius 1.905184e-02, zoom level 5.248836e+01
frame-00259.bmp: radius 3.566301e-03, zoom level 2.804026e+02
frame-00181.bmp: radius 1.947098e-02, zoom level 5.135848e+01
frame-00262.bmp: radius 3.340914e-03, zoom level 2.993193e+02
frame-00263.bmp: radius 3.268996e-03, zoom level 3.059043e+02
frame-00179.bmp: radius 2.033713e-02, zoom level 4.917115e+01
frame-00257.bmp: radius 3.724944e-03, zoom level 2.684604e+02
frame-00260.bmp: radius 3.489531e-03, zoom level 2.865714e+02
frame-00180.bmp: radius 1.989934e-02, zoom level 5.025291e+01
frame-00178.bmp: radius 2.078455e-02, zoom level 4.811267e+01
frame-00264.bmp: radius 3.198626e-03, zoom level 3.126342e+02
frame-00269.bmp: radius 2.868858e-03, zoom level 3.485708e+02
frame-00261.bmp: radius 3.414414e-03, zoom level 2.928760e+02
frame-00267.bmp: radius 2.996476e-03, zoom level 3.337253e+02
frame-00266.bmp: radius 3.062399e-03, zoom level 3.265414e+02
frame-00268.bmp: radius 2.931973e-03, zoom level 3.410673e+02
frame-00272.bmp: radius 2.687549e-03, zoom level 3.720863e+02
frame-00270.bmp: radius 2.807102e-03, zoom level 3.562393e+02
frame-00177.bmp: radius 2.124181e-02, zoom level 4.707698e+01
frame-00271.bmp: radius 2.746675e-03, zoom level 3.640766e+02
frame-00265.bmp: radius 3.129771e-03, zoom level 3.195122e+02
frame-00274.bmp: radius 2.573087e-03, zoom level 3.886382e+02
frame-00275.bmp: radius 2.517698e-03, zoom level 3.971882e+02
frame-00277.bmp: radius 2.410471e-03, zoom level 4.148567e+02
frame-00279.bmp: radius 2.307810e-03, zoom level 4.333112e+02
frame-00278.bmp: radius 2.358582e-03, zoom level 4.239836e+02
frame-00176.bmp: radius 2.170913e-02, zoom level 4.606358e+01
frame-00281.bmp: radius 2.209522e-03, zoom level 4.525866e+02
frame-00290.bmp: radius 1.816520e-03, zoom level 5.505031e+02
frame-00288.bmp: radius 1.897326e-03, zoom level 5.270575e+02
frame-00276.bmp: radius 2.463501e-03, zoom level 4.059263e+02
frame-00280.bmp: radius 2.258131e-03, zoom level 4.428441e+02
frame-00285.bmp: radius 2.025325e-03, zoom level 4.937479e+02
frame-00283.bmp: radius 2.115419e-03, zoom level 4.727195e+02
frame-00175.bmp: radius 2.218673e-02, zoom level 4.507199e+01
frame-00286.bmp: radius 1.981727e-03, zoom level 5.046104e+02
frame-00292.bmp: radius 1.739156e-03, zoom level 5.749917e+02
frame-00284.bmp: radius 2.069882e-03, zoom level 4.831193e+02
frame-00287.bmp: radius 1.939067e-03, zoom level 5.157118e+02
frame-00273.bmp: radius 2.629695e-03, zoom level 3.802722e+02
frame-00282.bmp: radius 2.161959e-03, zoom level 4.625435e+02
frame-00289.bmp: radius 1.856484e-03, zoom level 5.386528e+02
frame-00294.bmp: radius 1.665086e-03, zoom level 6.005696e+02
frame-00291.bmp: radius 1.777417e-03, zoom level 5.626142e+02
frame-00293.bmp: radius 1.701718e-03, zoom level 5.876415e+02
frame-00304.bmp: radius 1.339454e-03, zoom level 7.465731e+02
frame-00296.bmp: radius 1.594171e-03, zoom level 6.272854e+02
frame-00297.bmp: radius 1.559854e-03, zoom level 6.410856e+02
frame-00174.bmp: radius 2.267483e-02, zoom level 4.410175e+01
frame-00298.bmp: radius 1.526276e-03, zoom level 6.551895e+02
frame-00300.bmp: radius 1.461273e-03, zoom level 6.843350e+02
frame-00295.bmp: radius 1.629243e-03, zoom level 6.137822e+02
frame-00301.bmp: radius 1.429817e-03, zoom level 6.993903e+02
frame-00302.bmp: radius 1.399038e-03, zoom level 7.147769e+02
frame-00305.bmp: radius 1.310620e-03, zoom level 7.629977e+02
frame-00306.bmp: radius 1.282407e-03, zoom level 7.797836e+02
frame-00299.bmp: radius 1.493421e-03, zoom level 6.696037e+02
frame-00303.bmp: radius 1.368922e-03, zoom level 7.305020e+02
frame-00307.bmp: radius 1.254801e-03, zoom level 7.969389e+02
frame-00308.bmp: radius 1.227790e-03, zoom level 8.144715e+02
frame-00310.bmp: radius 1.175499e-03, zoom level 8.507025e+02
frame-00173.bmp: radius 2.317368e-02, zoom level 4.315240e+01
frame-00320.bmp: radius 9.456128e-04, zoom level 1.057515e+03
frame-00314.bmp: radius 1.077504e-03, zoom level 9.280712e+02
frame-00313.bmp: radius 1.101209e-03, zoom level 9.080931e+02
frame-00312.bmp: radius 1.125435e-03, zoom level 8.885451e+02
frame-00311.bmp: radius 1.150195e-03, zoom level 8.694179e+02
frame-00309.bmp: radius 1.201360e-03, zoom level 8.323899e+02
frame-00316.bmp: radius 1.031613e-03, zoom level 9.693555e+02
frame-00317.bmp: radius 1.009406e-03, zoom level 9.906813e+02
frame-00321.bmp: radius 9.252571e-04, zoom level 1.080781e+03
frame-00325.bmp: radius 8.481230e-04, zoom level 1.179074e+03
frame-00315.bmp: radius 1.054309e-03, zoom level 9.484887e+02
frame-00318.bmp: radius 9.876774e-04, zoom level 1.012476e+03
frame-00319.bmp: radius 9.664163e-04, zoom level 1.034751e+03
frame-00322.bmp: radius 9.053397e-04, zoom level 1.104558e+03
frame-00324.bmp: radius 8.667818e-04, zoom level 1.153693e+03
frame-00326.bmp: radius 8.298660e-04, zoom level 1.205014e+03
frame-00323.bmp: radius 8.858510e-04, zoom level 1.128858e+03
